full_text_final_entire,type_taegyoon,type_drew,stance_taegyoon,stance_drew,stance_final,stance_binary_pro_rest_taegyoon,stance_binary_pro_rest_drew,stance_binary_anti_rest_taegyoon,stance_binary_anti_rest_drew
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Measles,Measles,1,1,1,1,1,0,0
,Hepatitis A,Hepatitis A,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Measles,Measles,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Measles,Measles,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Rabies,Rabies,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Measles,Measles,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Polio,Polio,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Polio,Polio,1,1,1,1,1,0,0
,Measles,Measles,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Whooping Cough,Whooping Cough,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,COVID-19,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Rabies,Rabies,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Measles,Measles,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,HPV,HPV,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,0,1,1,0,0,0
,COVID-19,COVID-19,1,0,1,1,0,0,0
,COVID-19,COVID-19,1,0,1,1,0,0,0
,COVID-19,COVID-19,1,0,1,1,0,0,0
,General,General,1,0,1,1,0,0,0
,COVID-19,COVID-19,1,0,1,1,0,0,0
,COVID-19,COVID-19,1,0,1,1,0,0,0
,COVID-19,COVID-19,1,0,1,1,0,0,0
,General,General,1,0,1,1,0,0,0
,COVID-19,COVID-19,1,0,1,1,0,0,0
,COVID-19,COVID-19,1,0,1,1,0,0,0
,General,General,1,0,1,1,0,0,0
,General,General,1,0,1,1,0,0,0
,General,General,1,0,1,1,0,0,0
,COVID-19,COVID-19,1,0,1,1,0,0,0
,COVID-19,COVID-19,1,0,1,1,0,0,0
,COVID-19,COVID-19,1,0,1,1,0,0,0
,General,General,1,0,1,1,0,0,0
,General,General,1,0,1,1,0,0,0
,General,General,1,0,1,1,0,0,0
,General,COVID-19,1,0,1,1,0,0,0
,General,General,1,0,1,1,0,0,0
,Measles,Measles,1,0,1,1,0,0,0
,COVID-19,COVID-19,0,-1,1,0,0,0,1
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Measles,Measles,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,Measles,Measles,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,COVID-19,1,1,1,1,1,0,0
,General,COVID-19,1,1,1,1,1,0,0
,General,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Measles,Measles,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Measles,Measles,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,General,1,1,1,1,1,0,0
,Measles,Measles,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Mumps,Mumps,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,General,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Tetanus,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,Measles,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Measles,Measles,1,1,1,1,1,0,0
,Measles,Measles,1,1,1,1,1,0,0
,Measles,Measles,1,1,1,1,1,0,0
,General,Measles,1,1,1,1,1,0,0
,Measles,Measles,1,1,1,1,1,0,0
,Measles,Measles,1,1,1,1,1,0,0
,General,General,0,1,1,0,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,Measles,Measles,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Meningitis,Meningitis,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Rabies,Rabies,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,Flu,1,1,1,1,1,0,0
,General,COVID-19,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Rabies,Rabies,1,0,1,1,0,0,0
,Rabies,Rabies,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,COVID-19,1,1,1,1,1,0,0
,General,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,0,1,1,0,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,COVID-19,General,1,1,1,1,1,0,0
,Rabies,Rabies,1,1,1,1,1,0,0
,Rabies,Rabies,1,1,1,1,1,0,0
,Rabies,Rabies,1,1,1,1,1,0,0
,Rabies,Rabies,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Zika,Zika,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Measles,Measles,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,COVID-19,1,0,1,1,0,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,0,1,1,0,1,0,0
,Measles,Measles,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Measles,Measles,0,1,1,0,1,0,0
,Rabies,Rabies,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,0,1,1,0,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,Measles,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,0,1,1,0,0,0
,General,General,1,1,1,1,1,0,0
,Measles,Measles,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,Measles,Measles,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,HPV,HPV,1,1,1,1,1,0,0
,HPV,HPV,1,1,1,1,1,0,0
,HPV,HPV,1,1,1,1,1,0,0
,HPV,HPV,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,COVID-19,General,1,1,1,1,1,0,0
,Polio,Polio,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Tetanus,Tetanus,1,0,1,1,0,0,0
,Flu,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Measles,Measles,1,1,1,1,1,0,0
,Measles,Measles,1,1,1,1,1,0,0
,Measles,General,1,1,1,1,1,0,0
,Measles,Measles,1,1,1,1,1,0,0
,Measles,Measles,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Polio,Polio,1,1,1,1,1,0,0
,Polio,Polio,1,1,1,1,1,0,0
,Polio,Polio,1,1,1,1,1,0,0
,Polio,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Flu,Flu,1,0,1,1,0,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,COVID-19,1,1,1,1,1,0,0
,Measles,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Measles,Measles,0,1,1,0,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Measles,Measles,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Measles,Measles,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,Rotavirus,Rotavirus,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Measles,Measles,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,Polio,1,1,1,1,1,0,0
,Rabies,Rabies,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Flu,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Measles,Measles,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,COVID-19,1,1,1,1,1,0,0
,Animal,Animal,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,General,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Measles,Measles,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,0,1,1,0,1,0,0
,General,General,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
